comuna_cut,region_cut,comuna,fcm_dependency_pct_2025,fet_royalty_mineria_mclp_2025,ipp_percapita_mclp_2025,poverty_casen_pct_2025,presup_percapita_mclp_2025,professionalization_pct_2025,staff_contrata_directivo_2025,staff_contrata_profesional_2025,staff_directivo_total_2025,staff_planta_directivo_2025,staff_planta_profesional_2025,staff_profesional_total_2025,staff_total_2025,fcm_dependency_pct_2024,fet_royalty_mineria_mclp_2024,ipp_percapita_mclp_2024,poverty_casen_pct_2024,presup_percapita_mclp_2024,professionalization_pct_2024,staff_contrata_directivo_2024,staff_contrata_profesional_2024,staff_directivo_total_2024,staff_planta_directivo_2024,staff_planta_profesional_2024,staff_profesional_total_2024,staff_total_2024
11401,11,Chile Chico,86.48,304556.0,128.52,6.2,1157.23,56.25,0.0,1.0,9.0,9.0,1.0,2.0,32.0,83.65,130745.0,153.24,6.2,1037.26,50.0,0.0,2.0,6.0,6.0,1.0,3.0,30.0
11402,11,Río Ibáñez,86.57,301480.0,186.4,7.0,2303.92,54.05,0.0,5.0,9.0,9.0,2.0,7.0,37.0,86.3,128908.0,155.62,6.98,2672.94,54.29,0.0,5.0,8.0,8.0,2.0,7.0,35.0
12101,12,Punta Arenas,20.0,0.0,186.51,3.5,470.36,42.05,0.0,55.0,29.0,29.0,65.0,120.0,440.0,30.72,0.0,169.91,3.5,477.79,42.7,0.0,55.0,22.0,22.0,63.0,118.0,452.0
12102,12,Laguna Blanca,92.26,276208.0,730.44,2.3,10925.39,46.43,0.0,3.0,4.0,4.0,4.0,7.0,28.0,87.89,118185.0,1052.29,2.25,10201.41,42.86,0.0,2.0,4.0,4.0,4.0,6.0,28.0
12103,12,Río Verde,66.32,276162.0,5369.44,2.8,19819.08,57.14,0.0,0.0,6.0,6.0,4.0,4.0,35.0,63.08,118169.0,5407.36,2.82,18783.24,48.57,0.0,1.0,5.0,5.0,4.0,5.0,35.0
12104,12,San Gregorio,79.31,277830.0,872.96,8.1,5303.26,44.44,0.0,1.0,6.0,6.0,2.0,3.0,27.0,76.6,118907.0,895.2,8.06,5556.96,48.0,0.0,1.0,6.0,6.0,1.0,2.0,25.0
12201,12,Cabo De Hornos,91.99,288723.0,195.81,1.2,2865.72,41.94,0.0,0.0,5.0,5.0,1.0,1.0,31.0,90.63,123569.0,206.18,1.19,2533.61,45.45,0.0,0.0,5.0,5.0,1.0,1.0,33.0
12301,12,Porvenir,60.05,324041.0,256.26,3.6,1053.33,43.48,0.0,7.0,10.0,10.0,3.0,10.0,69.0,60.64,138414.0,229.35,3.63,652.07,39.71,0.0,7.0,7.0,7.0,4.0,11.0,68.0
12302,12,Primavera,86.08,280467.0,540.1,1.3,4430.44,52.17,0.0,2.0,7.0,7.0,1.0,3.0,23.0,89.74,119994.0,333.33,1.3,4614.09,57.14,0.0,2.0,9.0,9.0,1.0,3.0,28.0
12303,12,Timaukel,94.53,279927.0,475.33,6.4,10878.69,60.0,0.0,2.0,8.0,8.0,3.0,5.0,20.0,94.23,119636.0,446.01,6.43,10691.84,47.83,0.0,2.0,7.0,7.0,3.0,5.0,23.0
