region,comuna,region_nombre,comuna_nombre,attribute_type,attribute_value,attribute_units,attribute_category
14,14203,Los Ríos,Lago Ranco,primary_forest_share,39.3,percent,high
14,14203,Los Ríos,Lago Ranco,secondary_forest_share,18.8,percent,medium
14,14203,Los Ríos,Lago Ranco,shrubland_share,0.9,percent,very low
14,14203,Los Ríos,Lago Ranco,silviculture_share,0.6,percent,very low
14,14203,Los Ríos,Lago Ranco,urban_built_share,0.1,percent,very low
14,14203,Los Ríos,Lago Ranco,water_share,17.4,percent,very high
14,14203,Los Ríos,Lago Ranco,wetland_share,0.1,percent,very low
14,14204,Los Ríos,Río Bueno,beach_dune_share,0.0,percent,very low
14,14204,Los Ríos,Río Bueno,grassland_share,0.4,percent,very low
14,14204,Los Ríos,Río Bueno,ice_snow_share,1.5,percent,medium
14,14204,Los Ríos,Río Bueno,other_bare_share,5.1,percent,low
14,14204,Los Ríos,Río Bueno,pasture_share,51.7,percent,very high
14,14204,Los Ríos,Río Bueno,primary_forest_share,20.8,percent,medium
14,14204,Los Ríos,Río Bueno,secondary_forest_share,14.2,percent,low
14,14204,Los Ríos,Río Bueno,shrubland_share,1.2,percent,very low
14,14204,Los Ríos,Río Bueno,silviculture_share,1.6,percent,very low
14,14204,Los Ríos,Río Bueno,urban_built_share,0.3,percent,very low
14,14204,Los Ríos,Río Bueno,water_share,3.0,percent,low
14,14204,Los Ríos,Río Bueno,wetland_share,0.1,percent,very low
