concurso,programa,region,provincia,area_comuna,codigo_pm,instrument_type,amount_clp,amount_currency,status,status_as_of,gpc_sector,climate_relevance,source_url
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412878,grant (incentivo),735276,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411721,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412872,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412852,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412524,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412857,grant (incentivo),676204,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,412867,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Cañete,412985,grant (incentivo),718160,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411939,grant (incentivo),732020,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
SIRSD-S 2025 - 4to Concurso,SIRSD-S,Biobío,Arauco,Tirua,411985,grant (incentivo),1324040,CLP,awarded (lista a firme),2025-05-13,afolu,explicit,https://www.indap.gob.cl/sites/default/files/2025-05/REx%20020904%20_13052025%20-%204to%20concurso%20%28prov.%20Arauco%29.pdf
