comuna_cut,municipio,ipp_percibido_mclp,fcm_percibido_mclp,ip_percibido_mclp,ingresos_totales_percibido_mclp,ipp_devengado_mclp,fcm_devengado_mclp,ip_devengado_mclp,ingresos_totales_devengado_mclp,fcm_dependency,fcm_share_total_income,autonomy,fcm_contribution_ratio,operational_autonomy,source_vintage
05701,San Felipe,6825567,14330627,21156194,24990123,9134233,14330632,23464865,29672901,0.677373,0.573452,0.322627,0.11660836612382697,1.18969881877532,2026-06-14
05702,Catemu,1933222,5228784,7162006,9436874,1945976,5228784,7174760,9743816,0.730073,0.55408,0.269927,0.09371490579836536,1.20622080660096,2026-06-14
05703,Llaillay,2239867,5926093,8165960,10090906,2356944,5926093,8283037,10859641,0.725707,0.587271,0.274293,0.1138853203957481,1.42644031699761,2026-06-14
05704,Panquehue,1446071,2561825,4007896,5716218,1494597,2561825,4056422,5976349,0.639194,0.448168,0.360806,0.18749719438291063,1.0305260113006,2026-06-14
05705,Putaendo,1304569,5131808,6436377,7813570,1331123,5131808,6462931,7991301,0.797313,0.656781,0.202687,0.08470562421665034,1.34994101170433,2026-06-14
05706,Santa María,2357035,4400361,6757396,9782471,2357035,4400361,6757396,9927869,0.651192,0.449821,0.348808,0.47194900600200757,1.45069420784651,2026-06-14
05801,Quilpué,13374893,22885665,36260558,71632336,16298614,22885665,39184279,92282635,0.631145,0.319488,0.368855,0.191892173550561,1.09160029210847,2026-06-14
05802,Limache,5080448,8543651,13624099,17701139,5167072,8543651,13710723,18252252,0.627098,0.482661,0.372902,0.2084869805660367,1.27882020119495,2026-06-14
05803,Olmué,2740877,3555371,6296248,10267113,2745812,3555371,6301183,10552613,0.564681,0.346287,0.435319,0.207656247407092,1.04345895005913,2026-06-14
05804,Villa Alemana,8665187,21579769,30244956,36650327,10626269,21579769,32206038,44578431,0.7135,0.588802,0.2865,0.13712042051979334,1.19610834934277,2026-06-14
06101,Rancagua,31671712,30432681,62104393,112652221,38900379,30432681,69333060,126017026,0.490025,0.270147,0.509975,0.31764825451954104,1.19962893716782,2026-06-14
06102,Codegua,1843848,3207199,5051047,7576770,1865091,3207199,5072290,7797558,0.634957,0.423294,0.365043,0.27345637112009574,1.36233516801393,2026-06-14
06103,Coinco,756975,3236403,3993378,5269089,865598,3236403,4102001,5528838,0.810442,0.614224,0.189558,0.10165452201101037,1.22833937960737,2026-06-14
06104,Coltauco,1485562,6885895,8371457,10362821,1490198,6885895,8376093,10469091,0.822544,0.664481,0.177456,0.08883362293499973,1.25449366238804,2026-06-14
06105,Doñihue,2255343,5901245,8156588,9396403,2296688,5901245,8197933,9459836,0.723494,0.628032,0.276506,0.11313409289056801,1.40576535958526,2026-06-14
06106,Graneros,2337937,7034126,9372063,11072814,2349801,7034126,9383927,11118901,0.750542,0.635261,0.249458,0.08779427607637395,1.27853028938217,2026-06-14
06107,Las Cabras,5580785,3787622,9368407,12249019,5633834,3787622,9421456,13236919,0.404297,0.309218,0.595703,0.21497815779927354,1.14860216358901,2026-06-14
06108,Machalí,9257996,5804155,15062151,19526177,10006315,5804155,15810470,20897868,0.385347,0.29725,0.614653,0.40377677715360805,1.19816439745313,2026-06-14
06109,Malloa,1744680,4348476,6093156,8307208,1744680,4348476,6093156,8335227,0.713666,0.523458,0.286334,0.13164819122837518,1.51153342665753,2026-06-14
06110,Mostazal,15641395,3723110,19364505,21324277,15664951,3723110,19388061,21306952,0.192265,0.174595,0.807735,0.1632036120340253,1.61321174634781,2026-06-14
06111,Olivar,2478140,2870268,5348408,6754861,2579493,2870268,5449761,7914937,0.536658,0.424919,0.463342,0.32343112211124536,1.09985954622944,2026-06-14
06112,Peumo,1186860,3967836,5154696,6210303,1468128,3967836,5435964,6916658,0.769752,0.638912,0.230248,0.12224799613693711,1.36983209996883,2026-06-14
06113,Pichidegua,1919783,4967664,6887447,8913160,1959232,4967664,6926896,9075153,0.721263,0.55734,0.278737,0.10521726107079706,1.20116320580762,2026-06-14
06114,Quinta de Tilcoco,1505043,3916942,5421985,6907890,1516550,3916942,5433492,7532051,0.722418,0.567024,0.277582,0.16492687407676704,1.20723644733066,2026-06-14
06115,Rengo,6903192,10771000,17674192,20766877,6992220,10771000,17763220,22551445,0.60942,0.518662,0.39058,0.10516618698356699,1.10559963177939,2026-06-14
06116,Requínoa,5693214,4207145,9900359,11448386,5753575,4207145,9960720,11642226,0.424949,0.367488,0.575051,0.233859303637027,1.2720815716499,2026-06-14
06117,San Vicente,5283257,10305620,15588877,18112594,5833150,10305620,16138770,20907629,0.661088,0.568975,0.338912,0.1492397352124375,1.10338702640477,2026-06-14
06201,Pichilemu,4475234,12709950,17185184,30439173,5719128,12709950,18429078,32262352,0.739588,0.417552,0.260412,0.0708906014579129,1.36590367370504,2026-06-14
06202,La Estrella,2208606,2052578,4261184,6324135,2208606,2052578,4261184,6324135,0.481692,0.324563,0.518308,0.22811362101708194,1.20896210502962,2026-06-14
06203,Litueche,1892322,3010626,4902948,6233237,1894039,3010626,4904665,6235119,0.614044,0.482996,0.385956,0.22843986599464697,1.29458121055057,2026-06-14
