award_id,numero_ingreso,ano,concurso_id,concurso,fecha_presentacion,tipo_concurso,objetivo_manejo,literal,region_num,region,puntaje,superficie_ha,presenter_type,monto_total_utm,monto_actividades_utm,monto_ordenacion_utm,aporte_propietario_utm,monto_asesoria_utm,monto_asistencia_tecnica_utm,monto_elaboracion_plan_utm,monto_informe_ejecucion_utm,tiene_plan_saff,tiene_bonificacion_saff,numero_bonos
1292355,831/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-16,Pequeños Propietarios,PRODUCCION MADERERA,C,16,Ñuble,29.87,8.5,Extensionista,79.39,79.39,0.0,0.0,,,,,,Si,
1296308,1216/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-18,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,44.01,14.91,Consultor,111.89,111.89,0.0,0.0,,,,,,Si,
1289387,623/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-08,Otros Interesados,PRODUCCION MADERERA,C,9,La Araucanía,42.38,8.5,Extensionista,66.9,66.9,0.0,0.0,,,,,,Si,
1289110,595/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-06,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,31.97,2.88,Extensionista,13.77,13.77,0.0,0.0,,,,,,Si,
1290564,760/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-14,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,40.57,5.24,Extensionista,32.0,32.0,0.0,0.59,,,,,,Si,
1288793,573/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-06,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,38.1,6.0,Extensionista,69.0,69.0,0.0,23.64,,,,,,Si,
1285352,321/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,47.22,6.2,Extensionista,63.0,63.0,0.0,8.3,,,,,,Si,
1286791,419/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-29,Otros Interesados,PRODUCCION NO MADERERA,B,10,Los Lagos,51.38,17.6,Extensionista,76.54,76.54,0.0,0.0,,,,,,Si,
1293244,961/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,34.17,10.7,Extensionista,96.84,96.84,0.0,0.0,,,,,,Si,
1284293,281/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-06,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,31.27,3.0,Extensionista,27.26,27.26,0.0,0.1,,,,,,,
1325594,503/2020,2020,1315905,Primer Concurso 2020 para Pequeños Propietarios Forestales y Otros interesados,2020-06-16,Otros Interesados,PRODUCCION MADERERA,C,7,Maule,50.21,0.8,Extensionista,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Si,1.0
1282622,194/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-04-24,Otros Interesados,PRODUCCION MADERERA,C,6,O'Higgins,37.61,35.0,Extensionista,339.15,339.15,0.0,0.0,,,,,,Si,
1295234,1127/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-18,Pequeños Propietarios,PRODUCCION NO MADERERA,B,11,Aysén,47.37,4.1,Extensionista,23.58,23.58,0.0,12.14,,,,,,Si,
1296239,1188/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-18,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,30.57,3.5,Extensionista,31.92,31.92,0.0,0.0,,,,,,,
1281118,100/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-03-31,Otros Interesados,PRODUCCION MADERERA,C,8,Biobío,43.78,2.3,Extensionista,18.1,18.1,0.0,0.0,,,,,,Si,
1319945,207/2020,2020,1315905,Primer Concurso 2020 para Pequeños Propietarios Forestales y Otros interesados,2020-04-30,Pequeños Propietarios,PRODUCCION MADERERA,C,8,Biobío,37.6,7.22,Extensionista,78.05,78.05,0.0,0.0,0.0,0.0,0.0,0.0,1,Si,1.0
1320156,219/2020,2020,1315905,Primer Concurso 2020 para Pequeños Propietarios Forestales y Otros interesados,2020-04-30,Pequeños Propietarios,PRODUCCION MADERERA,C,8,Biobío,41.6,6.98,Extensionista,75.45,75.45,0.0,0.0,0.0,0.0,0.0,0.0,1,Si,1.0
1294946,1043/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,44.17,23.7,Extensionista,135.65,135.65,0.0,0.0,,,,,,Si,
1281086,095/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-03-31,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,42.87,4.5,Extensionista,51.75,51.75,0.0,0.0,,,,,,Si,
1287783,504/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-01,Pequeños Propietarios,PRODUCCION MADERERA,C,11,Aysén,42.34,28.0,Extensionista,322.0,322.0,0.0,50.08,,,,,,Si,
1292439,839/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-16,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,47.92,9.62,Extensionista,44.92,44.92,0.0,42.14,,,,,1,,1.0
1288761,570/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-06,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,26.57,5.0,Extensionista,41.0,41.0,0.0,0.0,,,,,,Si,
1285562,340/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-22,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,52.27,5.0,Extensionista,28.6,28.6,0.0,0.01,,,,,,Si,
1289320,619/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-07,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,40.3,5.1,Extensionista,46.16,46.16,0.0,0.0,,,,,1,Si,1.0
1183750,021/2016,2016,1183138,Primer Concurso 2016,2016-02-21,Otros Interesados,PRODUCCION MADERERA,C,11,Aysén,59.92,7.02,Otros,70.2,70.2,0.0,47.63,,,,,Si,Si,1.0
1289269,614/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-07,Otros Interesados,PRODUCCION NO MADERERA,B,10,Los Lagos,55.6,36.86,Extensionista,129.05,129.05,0.0,0.0,,,,,,Si,
1293926,945/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Otros Interesados,PRODUCCION MADERERA,C,6,O'Higgins,39.01,10.0,Extensionista,81.2,81.2,0.0,0.0,,,,,,Si,
1261807,738/2018,2018,1248949,Primer Concurso 2018,2018-05-25,Pequeños Propietarios,PRODUCCION MADERERA,C,13,Metropolitana,47.66,8.95,Personal Fomento Conaf,63.36,63.36,0.0,0.0,,,,,,Si,
1290339,852/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-16,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,30.17,12.42,Extensionista,112.0,112.0,0.0,0.4,,,,,,Si,
1286530,776/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-14,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,44.52,9.36,Extensionista,96.0,96.0,0.0,11.64,,,,,,Si,
1288742,569/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-06,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,33.57,4.1,Extensionista,47.15,47.15,0.0,1.56,,,,,,Si,
1285903,364/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION MADERERA,C,6,O'Higgins,48.22,16.0,Extensionista,77.44,77.44,0.0,72.0,,,,,1,Si,1.0
1286295,396/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-26,Pequeños Propietarios,PRODUCCION MADERERA,C,6,O'Higgins,33.17,11.0,Extensionista,122.65,122.65,0.0,0.0,,,,,,Si,
1287445,472/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-31,Pequeños Propietarios,PRODUCCION MADERERA,C,7,Maule,35.97,1.0,Extensionista,11.5,11.5,0.0,0.38,,,,,,Si,
1286523,527/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-02,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,34.87,4.4,Extensionista,50.6,50.6,0.0,0.0,,,,,,Si,
1280259,152/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-13,Pequeños Propietarios,BOSQUE PRESERVACION Y FORMACIONES XEROFITICAS DE ALTO VALOR ECOLOGICO,A,16,Ñuble,38.97,0.5,Extensionista,2.4,2.4,0.0,0.06,,,,,,Si,
1291228,730/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-14,Otros Interesados,PRODUCCION MADERERA,C,9,La Araucanía,55.77,5.0,Extensionista,17.0,17.0,0.0,20.9,,,,,1,Si,1.0
1285625,347/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-22,Pequeños Propietarios,PRODUCCION MADERERA,C,7,Maule,35.27,2.0,Extensionista,17.44,17.44,0.0,0.0,,,,,,Si,
1316717,028/2020,2020,1315905,Primer Concurso 2020 para Pequeños Propietarios Forestales y Otros interesados,2020-04-01,Otros Interesados,PRODUCCION MADERERA,C,9,La Araucanía,39.83,7.51,Extensionista,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Si,1.0
1290692,701/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-12,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,38.57,5.0,Extensionista,41.3,41.3,0.0,0.0,,,,,,Si,
1285343,320/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-21,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,45.57,4.33,Extensionista,49.8,49.8,0.0,0.0,,,,,,Si,
1290156,671/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-11,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,51.87,6.25,Extensionista,58.81,58.81,0.0,0.0,,,,,,Si,
1291918,787/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-15,Otros Interesados,PRODUCCION NO MADERERA,B,10,Los Lagos,52.26,12.0,Extensionista,60.0,60.0,0.0,12.71,,,,,,Si,
1385652,316/2021,2021,1380321,Primer Concurso 2021 para Pequeños Propietarios Forestales y Otros interesados,2021-04-09,Pequeños Propietarios,PRODUCCION MADERERA,C,14,Los Ríos,42.57,2.03,Extensionista,23.35,3.98,0.0,19.37,0.0,0.0,0.0,0.0,,Si,
1291014,750/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-14,Pequeños Propietarios,PRODUCCION NO MADERERA,B,9,La Araucanía,58.87,12.41,Extensionista,69.0,69.0,0.0,0.86,,,,,,Si,
1287881,511/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-02,Pequeños Propietarios,PRODUCCION MADERERA,C,14,Los Ríos,48.27,2.48,Extensionista,22.44,22.44,0.0,0.0,,,,,,Si,
1295519,1099/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-18,Pequeños Propietarios,PRODUCCION MADERERA,C,14,Los Ríos,46.97,0.84,Extensionista,7.6,7.6,0.0,0.0,,,,,,Si,
1284790,303/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-10,Otros Interesados,PRODUCCION NO MADERERA,B,6,O'Higgins,56.73,50.0,Consultor,249.83,249.83,0.0,0.0,,,,,,Si,
1252009,132/2018,2018,1248949,Primer Concurso 2018,2018-03-28,Otros Interesados,PRODUCCION MADERERA,C,10,Los Lagos,59.01,3.25,Otros,32.5,32.5,0.0,0.0,,,,,,,
1282792,343/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-22,Otros Interesados,PRODUCCION MADERERA,C,7,Maule,40.41,0.77,Extensionista,7.7,7.7,0.0,0.25,,,,,,Si,
1292468,841/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-16,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,41.5,1.5,Extensionista,17.25,17.25,0.0,5.91,,,,,,Si,
1292513,846/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-16,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,40.27,2.0,Extensionista,23.0,23.0,0.0,0.0,,,,,,Si,
1288781,571/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-06,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,23.87,10.0,Extensionista,82.0,82.0,0.0,0.0,,,,,,Si,
1294255,987/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,53.22,6.9,Extensionista,13.66,13.66,0.0,0.0,,,,,1,Si,1.0
1284310,282/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-05-06,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,29.27,3.0,Extensionista,27.36,27.36,0.0,0.0,,,,,,,
1295561,1105/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-18,Pequeños Propietarios,PRODUCCION MADERERA,C,9,La Araucanía,32.17,16.0,Extensionista,130.0,130.0,0.0,9.52,,,,,,Si,
1287893,513/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-02,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,44.06,8.1,Extensionista,40.62,40.62,0.0,0.33,,,,,,Si,
1316385,007/2020,2020,1315905,Primer Concurso 2020 para Pequeños Propietarios Forestales y Otros interesados,2020-03-31,Otros Interesados,PRODUCCION MADERERA,C,9,La Araucanía,48.32,9.0,Extensionista,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Si,1.0
1288736,789/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-15,Pequeños Propietarios,PRODUCCION MADERERA,C,7,Maule,35.27,2.0,Extensionista,17.44,17.44,0.0,0.0,,,,,,Si,
1262042,852/2018,2018,1248949,Primer Concurso 2018,2018-05-27,Pequeños Propietarios,PRODUCCION NO MADERERA,B,9,La Araucanía,73.36,25.24,Extensionista,131.0,131.0,0.0,1.27,,,,,,,
1293187,895/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Pequeños Propietarios,PRODUCCION NO MADERERA,B,10,Los Lagos,38.87,8.8,Extensionista,50.6,50.6,0.0,0.01,,,,,,Si,
1288171,564/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-05,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,39.24,15.0,Extensionista,158.76,158.76,0.0,0.0,,,,,,Si,
1292843,1167/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-18,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,46.87,5.25,Extensionista,60.38,60.38,0.0,0.0,,,,,,Si,
1288162,553/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-04,Pequeños Propietarios,PRODUCCION MADERERA,C,10,Los Lagos,50.47,9.25,Extensionista,106.38,106.38,0.0,0.0,,,,,,Si,
1294176,988/2019,2019,1279314,Primer  Concurso 2019 para Pequeños Propietarios Forestales y Otros Interesados.,2019-06-17,Otros Interesados,PRODUCCION NO MADERERA,B,16,Ñuble,53.4,1.18,Extensionista,5.9,5.9,0.0,1.59,,,,,,Si,
