project_id,project_name,action_id,sector,jurisdiction,lifecycle_stage,evaluation_verdict,cost_total,amount_committed,amount_paid,amount_unit,duration_months,beneficiaries_total,owner_formulator,match_label,source_dataset,n_funding_sources,route
conaf-bn-1409303,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,39.1,39.1,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1389701,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,awarded,,,26.2,,UTM,,,Consultor,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1393082,"Manejo bosque nativo, Ñuble",ipcc_0054,afolu,Ñuble,awarded,,,73.5,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1381969,"Manejo bosque nativo, Valparaíso",ipcc_0054,afolu,Valparaíso,awarded,,,174.7,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1383295,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,4.7,4.7,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1414125,"Manejo bosque nativo, O'Higgins",ipcc_0054,afolu,O'Higgins,executed,,,51.5,51.5,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1408833,"Manejo bosque nativo, Biobío",ipcc_0054,afolu,Biobío,executed,,,21.4,21.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1392612,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,awarded,,,41.1,,UTM,,,Consultor,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1392284,"Manejo bosque nativo, Biobío",ipcc_0054,afolu,Biobío,awarded,,,135.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391854,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,56.2,56.2,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1390938,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,awarded,,,59.0,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1390040,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,86.5,86.5,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1409452,"Manejo bosque nativo, Los Ríos",ipcc_0054,afolu,Los Ríos,executed,,,13.7,13.7,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386836,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,36.0,36.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1448654,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,executed,,,88.9,88.9,UTM,,,Consultor,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1391732,"Manejo bosque nativo, La Araucanía",ipcc_0054,afolu,La Araucanía,awarded,,,12.4,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1410092,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,7.8,7.8,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1392662,"Manejo bosque nativo, Valparaíso",ipcc_0054,afolu,Valparaíso,awarded,,,71.3,,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1382021,"Manejo bosque nativo, Valparaíso",ipcc_0054,afolu,Valparaíso,executed,,,40.0,40.0,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1408891,"Manejo bosque nativo, O'Higgins",ipcc_0054,afolu,O'Higgins,executed,,,57.5,57.5,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1385677,"Manejo bosque nativo, Los Lagos",ipcc_0054,afolu,Los Lagos,executed,,,150.2,150.2,UTM,,,Propietario que postula su propio predio,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
conaf-bn-1386931,"Manejo bosque nativo, Maule",ipcc_0054,afolu,Maule,executed,,,9.4,9.4,UTM,,,Extensionista,,cl-conaf/cl-conaf-bn-awards,1,"Route A — competitive fund (CONAF bonificación; landowner applies, city facilitates)"
